genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	rRNA	fig|1203554.3.rna.1		VBISutWad251270_r001		1	2856	+	2856		Large Subunit Ribosomal RNA; lsuRNA; LSU rRNA						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	source					1	17795	+	17795								
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	rRNA	fig|1203554.3.rna.2		VBISutWad251270_r002		2947	3064	+	118		5S RNA						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	CDS	fig|1203554.3.peg.1	HMPREF1476_00003	VBISutWad251270_0001	S3BRW5	3263	4402	+	1140		Lipopolysaccharide export system permease protein LptF	FIG00000988	PLF_40544_00000994	PGF_08461341			
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	CDS	fig|1203554.3.peg.2	HMPREF1476_00004	VBISutWad251270_0002	S3BP21	4399	5532	+	1134		Lipopolysaccharide export system permease protein LptG	FIG00638284	PLF_40544_00002140	PGF_00409350			
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	CDS	fig|1203554.3.peg.3	HMPREF1476_00005	VBISutWad251270_0003	S3C7E6	5603	11371	-	5769		Excinuclease ABC subunit A, dimeric form	FIG00133288	PLF_40544_00000165	PGF_00424969			
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.3		VBISutWad251270_r003		11511	11583	+	73		tRNA-Ala-GGC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.4		VBISutWad251270_r004		11597	11669	+	73		tRNA-Glu-TTC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.5		VBISutWad251270_r005		11753	11825	+	73		tRNA-Ala-GGC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.6		VBISutWad251270_r006		11837	11909	+	73		tRNA-Glu-TTC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.7		VBISutWad251270_r007		11953	12025	+	73		tRNA-Ala-GGC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.8		VBISutWad251270_r008		12039	12111	+	73		tRNA-Glu-TTC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.9		VBISutWad251270_r009		12195	12267	+	73		tRNA-Ala-GGC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.10		VBISutWad251270_r010		12279	12351	+	73		tRNA-Glu-TTC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.11		VBISutWad251270_r011		12395	12467	+	73		tRNA-Ala-GGC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	tRNA	fig|1203554.3.rna.12		VBISutWad251270_r012		12481	12553	+	73		tRNA-Glu-TTC						
1203554.3	Sutterella wadsworthensis HGA0223	ATCF01000001	PATRIC	CDS	fig|1203554.3.peg.4	HMPREF1476_00016	VBISutWad251270_0004	S3BLK4	12719	13018	-	300		hypothetical protein		PLF_40544_00001299	PGF_00249893			
