patric_id	pathway
	
fig|622312.4.peg.1	
fig|622312.4.peg.2	
fig|622312.4.peg.3	
fig|622312.4.peg.4	
fig|622312.4.peg.5	
fig|622312.4.peg.6	
fig|622312.4.peg.7	
fig|622312.4.peg.8	
fig|622312.4.peg.9	
	
	
fig|622312.4.peg.10	
fig|622312.4.peg.11	00230|Purine metabolism;00240|Pyrimidine metabolism
fig|622312.4.peg.12	
fig|622312.4.peg.13	
fig|622312.4.peg.14	
fig|622312.4.peg.15	
fig|622312.4.peg.16	
fig|622312.4.peg.17	
fig|622312.4.rna.1	
fig|622312.4.peg.18	
fig|622312.4.peg.19	
fig|622312.4.peg.20	
fig|622312.4.peg.21	
fig|622312.4.peg.22	
fig|622312.4.peg.23	
fig|622312.4.peg.24	
fig|622312.4.peg.25	
fig|622312.4.peg.26	
fig|622312.4.peg.27	
fig|622312.4.peg.28	00230|Purine metabolism;00240|Pyrimidine metabolism
fig|622312.4.peg.29	00770|Pantothenate and CoA biosynthesis
fig|622312.4.peg.30	
fig|622312.4.peg.31	
fig|622312.4.peg.32	
fig|622312.4.peg.33	
fig|622312.4.peg.34	00230|Purine metabolism
fig|622312.4.peg.35	00230|Purine metabolism;00670|One carbon pool by folate
fig|622312.4.peg.36	00230|Purine metabolism;00670|One carbon pool by folate
fig|622312.4.peg.37	00230|Purine metabolism;00240|Pyrimidine metabolism;00760|Nicotinate and nicotinamide metabolism
fig|622312.4.peg.38	
fig|622312.4.peg.39	00430|Taurine and hypotaurine metabolism;00620|Pyruvate metabolism;00640|Propanoate metabolism;00680|Methane metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
fig|622312.4.peg.40	
fig|622312.4.peg.41	
fig|622312.4.peg.42	
fig|622312.4.peg.43	
fig|622312.4.peg.44	
fig|622312.4.peg.45	
fig|622312.4.peg.46	
fig|622312.4.peg.47	
fig|622312.4.peg.48	
fig|622312.4.peg.49	00260|Glycine, serine and threonine metabolism;00290|Valine, leucine and isoleucine biosynthesis;00270|Cysteine and methionine metabolism
fig|622312.4.peg.50	00230|Purine metabolism
fig|622312.4.peg.51	
fig|622312.4.peg.52	
fig|622312.4.peg.53	
fig|622312.4.peg.54	
fig|622312.4.peg.55	
fig|622312.4.peg.56	
fig|622312.4.peg.57	
fig|622312.4.peg.58	
fig|622312.4.peg.59	
fig|622312.4.peg.60	
fig|622312.4.peg.61	
fig|622312.4.peg.62	
fig|622312.4.peg.63	
fig|622312.4.peg.64	
fig|622312.4.peg.65	
fig|622312.4.peg.66	
fig|622312.4.peg.67	
fig|622312.4.peg.68	
fig|622312.4.peg.69	
fig|622312.4.peg.70	
fig|622312.4.peg.71	
fig|622312.4.peg.72	
fig|622312.4.peg.73	
fig|622312.4.peg.74	
fig|622312.4.peg.75	
fig|622312.4.peg.76	
fig|622312.4.peg.77	
fig|622312.4.peg.78	00564|Glycerophospholipid metabolism
fig|622312.4.peg.79	00240|Pyrimidine metabolism
fig|622312.4.peg.80	
fig|622312.4.peg.81	
fig|622312.4.peg.82	
fig|622312.4.peg.83	
fig|622312.4.peg.84	
fig|622312.4.peg.85	00790|Folate biosynthesis
fig|622312.4.peg.86	00790|Folate biosynthesis
fig|622312.4.peg.87	00790|Folate biosynthesis
fig|622312.4.peg.88	00790|Folate biosynthesis
fig|622312.4.peg.89	00630|Glyoxylate and dicarboxylate metabolism
fig|622312.4.peg.90	
fig|622312.4.peg.91	
fig|622312.4.peg.92	
fig|622312.4.peg.93	
fig|622312.4.peg.94	00250|Alanine, aspartate and glutamate metabolism;00910|Nitrogen metabolism
fig|622312.4.peg.95	00250|Alanine, aspartate and glutamate metabolism;00910|Nitrogen metabolism
fig|622312.4.peg.96	
fig|622312.4.peg.97	
fig|622312.4.peg.98	
fig|622312.4.peg.99	
fig|622312.4.peg.100	
fig|622312.4.peg.101	
fig|622312.4.peg.102	
fig|622312.4.peg.103	
fig|622312.4.peg.104	
fig|622312.4.peg.105	
fig|622312.4.peg.106	
fig|622312.4.peg.107	
fig|622312.4.peg.108	
fig|622312.4.peg.109	
fig|622312.4.peg.110	
fig|622312.4.peg.111	
fig|622312.4.peg.112	
fig|622312.4.peg.113	00620|Pyruvate metabolism;00710|Carbon fixation in photosynthetic organisms
fig|622312.4.peg.114	
fig|622312.4.peg.115	
fig|622312.4.peg.116	
fig|622312.4.peg.117	
fig|622312.4.peg.118	
fig|622312.4.peg.119	
fig|622312.4.peg.120	
	
fig|622312.4.peg.121	00230|Purine metabolism
fig|622312.4.peg.122	
fig|622312.4.peg.123	
fig|622312.4.peg.124	
fig|622312.4.peg.125	
fig|622312.4.peg.126	
fig|622312.4.peg.127	
fig|622312.4.peg.128	
fig|622312.4.peg.129	
fig|622312.4.peg.130	
fig|622312.4.peg.131	
fig|622312.4.peg.132	
fig|622312.4.peg.133	
fig|622312.4.peg.134	
fig|622312.4.peg.135	
fig|622312.4.peg.136	
fig|622312.4.peg.137	
fig|622312.4.peg.138	
fig|622312.4.peg.139	
fig|622312.4.peg.140	
fig|622312.4.peg.141	
fig|622312.4.peg.142	
fig|622312.4.peg.143	
