patric_id	pathway
	
fig|742725.3.peg.1	
fig|742725.3.pg.1	
	
fig|742725.3.peg.2	
fig|742725.3.peg.3	
fig|742725.3.peg.4	
fig|742725.3.peg.5	
fig|742725.3.peg.6	
fig|742725.3.peg.7	
fig|742725.3.peg.8	
fig|742725.3.peg.9	
fig|742725.3.peg.10	
fig|742725.3.peg.11	
fig|742725.3.peg.12	00040|Pentose and glucuronate interconversions;00053|Ascorbate and aldarate metabolism;00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism
fig|742725.3.peg.13	00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism
fig|742725.3.peg.14	
fig|742725.3.peg.15	
fig|742725.3.peg.16	
fig|742725.3.peg.17	
fig|742725.3.peg.18	
fig|742725.3.peg.19	
fig|742725.3.peg.20	
fig|742725.3.peg.21	
fig|742725.3.peg.22	
fig|742725.3.peg.23	
fig|742725.3.peg.24	
	
fig|742725.3.peg.25	
fig|742725.3.peg.26	
fig|742725.3.peg.27	
fig|742725.3.peg.28	00500|Starch and sucrose metabolism;00520|Amino sugar and nucleotide sugar metabolism
fig|742725.3.peg.29	
fig|742725.3.peg.30	
fig|742725.3.peg.31	
fig|742725.3.peg.32	
fig|742725.3.peg.33	00061|Fatty acid biosynthesis;00253|Tetracycline biosynthesis;00310|Lysine degradation;00330|Arginine and proline metabolism;00340|Histidine metabolism;00350|Tyrosine metabolism;00360|Phenylalanine metabolism;00362|Benzoate degradation via hydroxylation;00540|Lipopolysaccharide biosynthesis;00564|Glycerophospholipid metabolism;00565|Ether lipid metabolism;00604|Glycosphingolipid biosynthesis - ganglio series;00623|2,4-Dichlorobenzoate degradation;00626|Naphthalene and anthracene degradation;00627|1,4-Dichlorobenzene degradation;00642|Ethylbenzene degradation;00650|Butanoate metabolism;00680|Methane metabolism;00903|Limonene and pinene degradation;00904|Diterpenoid biosynthesis;00906|Carotenoid biosynthesis;00942|Anthocyanin biosynthesis;00945|Stilbenoid, diarylheptanoid and gingerol biosynthesis;00950|Isoquinoline alkaloid biosynthesis;00960|Tropane, piperidine and pyridine alkaloid biosynthesis;00965|Betalain biosynthesis;01056|Biosynthesis of type II polyketide backbone
fig|742725.3.peg.34	
fig|742725.3.peg.35	
fig|742725.3.peg.36	
fig|742725.3.peg.37	00020|Citrate cycle (TCA cycle);00630|Glyoxylate and dicarboxylate metabolism
fig|742725.3.peg.38	00020|Citrate cycle (TCA cycle);00480|Glutathione metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
fig|742725.3.peg.39	
fig|742725.3.peg.40	00030|Pentose phosphate pathway
fig|742725.3.peg.41	
fig|742725.3.peg.42	
fig|742725.3.peg.43	
fig|742725.3.peg.44	
fig|742725.3.peg.45	00780|Biotin metabolism
fig|742725.3.peg.46	
fig|742725.3.peg.47	00300|Lysine biosynthesis
fig|742725.3.peg.48	
fig|742725.3.peg.49	
fig|742725.3.peg.50	
fig|742725.3.peg.51	
fig|742725.3.peg.52	
fig|742725.3.peg.53	
fig|742725.3.peg.54	
fig|742725.3.peg.55	
fig|742725.3.peg.56	
fig|742725.3.peg.57	
fig|742725.3.peg.58	
fig|742725.3.peg.59	
fig|742725.3.peg.60	
fig|742725.3.peg.61	
fig|742725.3.peg.62	
fig|742725.3.peg.63	
fig|742725.3.peg.64	
fig|742725.3.peg.65	
fig|742725.3.peg.66	
fig|742725.3.peg.67	
fig|742725.3.peg.68	
fig|742725.3.peg.69	
fig|742725.3.peg.70	
fig|742725.3.peg.71	
fig|742725.3.peg.72	
fig|742725.3.peg.73	
fig|742725.3.peg.74	
fig|742725.3.peg.75	
fig|742725.3.peg.76	
fig|742725.3.peg.77	
fig|742725.3.peg.78	
fig|742725.3.peg.79	
fig|742725.3.peg.80	
fig|742725.3.peg.81	
fig|742725.3.peg.82	
fig|742725.3.peg.83	
fig|742725.3.peg.84	
fig|742725.3.peg.85	
fig|742725.3.peg.86	
fig|742725.3.peg.87	
fig|742725.3.peg.88	
fig|742725.3.peg.89	00230|Purine metabolism;00240|Pyrimidine metabolism
fig|742725.3.peg.90	
fig|742725.3.peg.91	00010|Glycolysis / Gluconeogenesis;00680|Methane metabolism
fig|742725.3.peg.92	
fig|742725.3.peg.93	
fig|742725.3.peg.94	
fig|742725.3.peg.95	
fig|742725.3.peg.96	
fig|742725.3.peg.97	
fig|742725.3.peg.98	
fig|742725.3.peg.99	
fig|742725.3.peg.100	00970|Aminoacyl-tRNA biosynthesis
fig|742725.3.peg.101	
fig|742725.3.peg.102	
fig|742725.3.peg.103	
fig|742725.3.peg.104	00780|Biotin metabolism
fig|742725.3.peg.105	
fig|742725.3.peg.106	
fig|742725.3.peg.107	
fig|742725.3.peg.108	
fig|742725.3.peg.109	
fig|742725.3.peg.110	00970|Aminoacyl-tRNA biosynthesis
fig|742725.3.peg.111	
fig|742725.3.peg.112	
fig|742725.3.peg.113	
fig|742725.3.peg.114	
fig|742725.3.peg.115	
fig|742725.3.peg.116	
fig|742725.3.peg.117	
fig|742725.3.peg.118	
fig|742725.3.peg.119	
fig|742725.3.peg.120	
fig|742725.3.peg.121	
fig|742725.3.peg.122	
fig|742725.3.peg.123	
fig|742725.3.peg.124	
fig|742725.3.peg.125	
fig|742725.3.peg.126	
fig|742725.3.peg.127	
fig|742725.3.peg.128	
fig|742725.3.peg.129	
fig|742725.3.peg.130	
fig|742725.3.peg.131	00330|Arginine and proline metabolism
fig|742725.3.peg.132	
fig|742725.3.peg.133	
fig|742725.3.peg.134	
fig|742725.3.peg.135	
fig|742725.3.peg.136	00730|Thiamine metabolism
fig|742725.3.peg.137	
fig|742725.3.peg.138	
fig|742725.3.peg.139	
fig|742725.3.peg.140	
fig|742725.3.peg.141	
fig|742725.3.peg.142	00230|Purine metabolism
fig|742725.3.peg.143	00270|Cysteine and methionine metabolism;00920|Sulfur metabolism
fig|742725.3.peg.144	
fig|742725.3.peg.145	00052|Galactose metabolism;00531|Glycosaminoglycan degradation;00600|Sphingolipid metabolism;00604|Glycosphingolipid biosynthesis - ganglio series
fig|742725.3.peg.146	
fig|742725.3.peg.147	
fig|742725.3.peg.148	
fig|742725.3.peg.149	
fig|742725.3.peg.150	
fig|742725.3.peg.151	
fig|742725.3.peg.152	
fig|742725.3.peg.153	
fig|742725.3.peg.154	00230|Purine metabolism;00240|Pyrimidine metabolism
fig|742725.3.peg.155	
fig|742725.3.peg.156	
fig|742725.3.peg.157	
fig|742725.3.peg.158	00020|Citrate cycle (TCA cycle);00630|Glyoxylate and dicarboxylate metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
fig|742725.3.peg.159	
fig|742725.3.peg.160	
fig|742725.3.peg.161	
fig|742725.3.peg.162	
fig|742725.3.peg.163	
fig|742725.3.peg.164	
fig|742725.3.peg.165	
fig|742725.3.peg.166	
fig|742725.3.peg.167	
fig|742725.3.peg.168	
fig|742725.3.peg.169	
fig|742725.3.peg.170	
fig|742725.3.peg.171	
fig|742725.3.peg.172	
fig|742725.3.peg.173	
fig|742725.3.peg.174	
fig|742725.3.peg.175	
fig|742725.3.peg.176	
fig|742725.3.peg.177	
fig|742725.3.peg.178	
fig|742725.3.peg.179	
fig|742725.3.peg.180	
fig|742725.3.peg.181	
fig|742725.3.peg.182	
fig|742725.3.peg.183	
fig|742725.3.peg.184	00521|Streptomycin biosynthesis;00562|Inositol phosphate metabolism
fig|742725.3.peg.185	
fig|742725.3.peg.186	
fig|742725.3.peg.187	
fig|742725.3.peg.188	
fig|742725.3.peg.189	
fig|742725.3.peg.190	
fig|742725.3.peg.191	
fig|742725.3.peg.192	00040|Pentose and glucuronate interconversions
fig|742725.3.peg.193	00040|Pentose and glucuronate interconversions
fig|742725.3.peg.194	
fig|742725.3.peg.195	
fig|742725.3.peg.196	
fig|742725.3.peg.197	
fig|742725.3.peg.198	
fig|742725.3.peg.199	
fig|742725.3.peg.200	
fig|742725.3.pg.2	
fig|742725.3.peg.201	
fig|742725.3.peg.202	00250|Alanine, aspartate and glutamate metabolism;00330|Arginine and proline metabolism;00910|Nitrogen metabolism
fig|742725.3.peg.203	
fig|742725.3.peg.204	
fig|742725.3.peg.205	
fig|742725.3.peg.206	
fig|742725.3.peg.207	
fig|742725.3.peg.208	
fig|742725.3.peg.209	
fig|742725.3.peg.210	
fig|742725.3.peg.211	
fig|742725.3.peg.212	
fig|742725.3.peg.213	
fig|742725.3.peg.214	
fig|742725.3.peg.215	
fig|742725.3.peg.216	00010|Glycolysis / Gluconeogenesis;00030|Pentose phosphate pathway;00051|Fructose and mannose metabolism;00680|Methane metabolism;00710|Carbon fixation in photosynthetic organisms
fig|742725.3.peg.217	
fig|742725.3.peg.218	00010|Glycolysis / Gluconeogenesis;00710|Carbon fixation in photosynthetic organisms
fig|742725.3.peg.219	
fig|742725.3.peg.220	
fig|742725.3.peg.221	00260|Glycine, serine and threonine metabolism
fig|742725.3.peg.222	
