genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	source					1	303693	+	303693								
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.1	BACCELL_00001	VBIBacCel136693_0001		77	706	-	630		Transcriptional regulator, LuxR family	FIG01316265	PLF_816_00071403	PGF_00059469			
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.2	BACCELL_00002	VBIBacCel136693_0002		860	2209	+	1350		Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	FIG00133226	PLF_816_00016095	PGF_00423338	GO:0005737|cytoplasm;GO:0006118|electron transport;GO:0015036|disulfide oxidoreductase activity;GO:0016491|oxidoreductase activity	1.8.1.4|Dihydrolipoyl dehydrogenase	00010|Glycolysis / Gluconeogenesis;00020|Citrate cycle (TCA cycle);00260|Glycine, serine and threonine metabolism;00280|Valine, leucine and isoleucine degradation;00620|Pyruvate metabolism
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.3	BACCELL_00003	VBIBacCel136693_0003		2209	2958	+	750		Lipoate-protein ligase A	FIG00000465	PLF_816_00007954	PGF_03677192	GO:0003824|catalytic activity;GO:0006464|protein modification process		
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.4	BACCELL_00004	VBIBacCel136693_0004		3025	4398	+	1374		Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.12)	FIG00001753	PLF_816_00001283	PGF_08187772	GO:0004742|dihydrolipoyllysine-residue acetyltransferase activity	2.3.1.12|Dihydrolipoyllysine-residue acetyltransferase	00010|Glycolysis / Gluconeogenesis;00020|Citrate cycle (TCA cycle);00620|Pyruvate metabolism
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.131	BACCELL_00007	VBIBacCel136693_0131		6597	7016	+	420		MotA/TolQ/ExbB proton channel family protein	FIG00002161			GO:0006810|transport;GO:0008565|protein transporter activity;GO:0016020|membrane		
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	pseudogene	fig|537012.5.pg.1		VBIBacCel136693_pg001		6597	7410	+	814								
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.132	BACCELL_00008	VBIBacCel136693_0132		7018	7410	+	393		MotA/TolQ/ExbB proton channel family protein	FIG00002161	PLF_816_00001285	PGF_10384183	GO:0006810|transport;GO:0008565|protein transporter activity;GO:0016020|membrane		
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.133	BACCELL_00009	VBIBacCel136693_0133		7442	8047	+	606		Biopolymer transport protein ExbD/TolR	FIG00017761	PLF_816_00000941	PGF_05541499	GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane		
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.134	BACCELL_00010	VBIBacCel136693_0134		8063	8716	+	654		Biopolymer transport protein ExbD/TolR	FIG00017761	PLF_816_00000942	PGF_05541499	GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane		
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.135	BACCELL_00011	VBIBacCel136693_0135		8743	9558	+	816		putative TonB-dependent receptor	FIG00038726	PLF_816_00004217	PGF_10404334			
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.136	BACCELL_00012	VBIBacCel136693_0136		9572	10522	+	951		Putative phosphate ABC transporter, phosphate-binding component	FIG00936929	PLF_816_00008007	PGF_00043229			
537012.5	Bacteroides cellulosilyticus DSM 14838	NZ_EQ973486	PATRIC	CDS	fig|537012.5.peg.137	BACCELL_00013	VBIBacCel136693_0137		10528	11973	+	1446		Tetratricopeptide repeat family protein	FIG01233114	PLF_816_00124249	PGF_00056372			
