genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.3	Amuc_0001	VBIAkkMuc16855_0003			3.6.1.13	ADP-ribose diphosphatase	00230	Purine metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.12	Amuc_0009	VBIAkkMuc16855_0012			4.2.1.51	Prephenate dehydratase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.12	Amuc_0009	VBIAkkMuc16855_0012			5.4.99.5	Chorismate mutase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.16	Amuc_0012	VBIAkkMuc16855_0016			2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	00564	Glycerophospholipid metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.36	Amuc_0029	VBIAkkMuc16855_0036			5.1.3.2	UDP-glucose 4-epimerase	00052	Galactose metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.36	Amuc_0029	VBIAkkMuc16855_0036			5.1.3.2	UDP-glucose 4-epimerase	00520	Amino sugar and nucleotide sugar metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.41	Amuc_0034	VBIAkkMuc16855_0041			6.1.1.15	Proline--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.44	Amuc_0038	VBIAkkMuc16855_0044			3.5.1.2	Glutaminase	00250	Alanine, aspartate and glutamate metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.44	Amuc_0038	VBIAkkMuc16855_0044			3.5.1.2	Glutaminase	00330	Arginine and proline metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.44	Amuc_0038	VBIAkkMuc16855_0044			3.5.1.2	Glutaminase	00471	D-Glutamine and D-glutamate metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.44	Amuc_0038	VBIAkkMuc16855_0044			3.5.1.2	Glutaminase	00910	Nitrogen metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.51	Amuc_0044	VBIAkkMuc16855_0051			5.1.1.7	Diaminopimelate epimerase	00300	Lysine biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.56	Amuc_0047	VBIAkkMuc16855_0056			2.1.1.163	Demethylmenaquinone methyltransferase	00130	Ubiquinone and other terpenoid-quinone biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.61		VBIAkkMuc16855_0061			2.3.3.13	2-isopropylmalate synthase	00290	Valine, leucine and isoleucine biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.61		VBIAkkMuc16855_0061			2.3.3.13	2-isopropylmalate synthase	00620	Pyruvate metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.72	Amuc_0060	VBIAkkMuc16855_0072			3.2.1.50	Alpha-N-acetylglucosaminidase	00531	Glycosaminoglycan degradation
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.77	Amuc_0064	VBIAkkMuc16855_0077			4.1.1.68	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase	00350	Tyrosine metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.77	Amuc_0064	VBIAkkMuc16855_0077			5.3.3.-	Transposing C==C bonds	00350	Tyrosine metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.77	Amuc_0064	VBIAkkMuc16855_0077			5.3.3.-	Transposing C==C bonds	00592	alpha-Linolenic acid metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.78	Amuc_0065	VBIAkkMuc16855_0078			2.3.3.13	2-isopropylmalate synthase	00290	Valine, leucine and isoleucine biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.78	Amuc_0065	VBIAkkMuc16855_0078			2.3.3.13	2-isopropylmalate synthase	00620	Pyruvate metabolism
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.82	Amuc_0068	VBIAkkMuc16855_0082			2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	00900	Terpenoid backbone biosynthesis
349741.6	Akkermansia muciniphila ATCC BAA-835	fig|349741.6.peg.84	Amuc_0070	VBIAkkMuc16855_0084			6.1.1.2	Tryptophan--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
