genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.20		VBIAliSp252799_0020		D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase (EC 2.7.7.71)	2.7.7.71	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	00540	Lipopolysaccharide biosynthesis
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.21		VBIAliSp252799_0021		D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)	2.7.1.168	D-glycero-alpha-D-manno-heptose-7-phosphate kinase	00540	Lipopolysaccharide biosynthesis
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.27		VBIAliSp252799_0027		Phosphoheptose isomerase (EC 5.3.1.-)	5.3.1.-	Interconverting aldoses and ketoses, and related compounds	00040	Pentose and glucuronate interconversions
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.27		VBIAliSp252799_0027		Phosphoheptose isomerase (EC 5.3.1.-)	5.3.1.-	Interconverting aldoses and ketoses, and related compounds	00052	Galactose metabolism
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.27		VBIAliSp252799_0027		Phosphoheptose isomerase (EC 5.3.1.-)	5.3.1.-	Interconverting aldoses and ketoses, and related compounds	00562	Inositol phosphate metabolism
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.27		VBIAliSp252799_0027		Phosphoheptose isomerase (EC 5.3.1.-)	5.3.1.-	Interconverting aldoses and ketoses, and related compounds	01051	Biosynthesis of ansamycins
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.27		VBIAliSp252799_0027		D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)	5.3.1.28	D-sedoheptulose 7-phosphate isomerase	00540	Lipopolysaccharide biosynthesis
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.28		VBIAliSp252799_0028		alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	00052	Galactose metabolism
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.28		VBIAliSp252799_0028		alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	00561	Glycerolipid metabolism
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.28		VBIAliSp252799_0028		alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	00600	Sphingolipid metabolism
1211813.3	Alistipes sp. AP11	fig|1211813.3.peg.28		VBIAliSp252799_0028		alpha-galactosidase (EC 3.2.1.22)	3.2.1.22	Alpha-galactosidase	00603	Glycosphingolipid biosynthesis - globo series
