genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.2	BACFIN_04701	VBIBacFin117758_0002		Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)	1.3.5.1	Succinate dehydrogenase (quinone)	00020	Citrate cycle (TCA cycle)
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.2	BACFIN_04701	VBIBacFin117758_0002		Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)	1.3.5.1	Succinate dehydrogenase (quinone)	00190	Oxidative phosphorylation
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.3	BACFIN_04702	VBIBacFin117758_0003		Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	1.3.5.1	Succinate dehydrogenase (quinone)	00020	Citrate cycle (TCA cycle)
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.3	BACFIN_04702	VBIBacFin117758_0003		Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	1.3.5.1	Succinate dehydrogenase (quinone)	00190	Oxidative phosphorylation
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.6	BACFIN_04704	VBIBacFin117758_0006		Chitinase (EC 3.2.1.14)	3.2.1.14	Chitinase	00520	Amino sugar and nucleotide sugar metabolism
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.19	BACFIN_04718	VBIBacFin117758_0019		Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	2.7.7.3	Pantetheine-phosphate adenylyltransferase	00770	Pantothenate and CoA biosynthesis
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.24	BACFIN_04723	VBIBacFin117758_0024		Tartrate-resistant acid phosphatase type 5 precursor (EC 3.1.3.2)	3.1.3.2	Acid phosphatase	00627	1,4-Dichlorobenzene degradation
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.24	BACFIN_04723	VBIBacFin117758_0024		Tartrate-resistant acid phosphatase type 5 precursor (EC 3.1.3.2)	3.1.3.2	Acid phosphatase	00740	Riboflavin metabolism
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.29	BACFIN_04728	VBIBacFin117758_0029		beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00052	Galactose metabolism
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.29	BACFIN_04728	VBIBacFin117758_0029		beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00531	Glycosaminoglycan degradation
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.29	BACFIN_04728	VBIBacFin117758_0029		beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00600	Sphingolipid metabolism
483215.6	Bacteroides finegoldii DSM 17565	fig|483215.6.peg.29	BACFIN_04728	VBIBacFin117758_0029		beta-galactosidase (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00604	Glycosphingolipid biosynthesis - ganglio series
