genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.2	RHOM_00010	VBIRosHom36679_0002		DNA polymerase III beta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00230	Purine metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.2	RHOM_00010	VBIRosHom36679_0002		DNA polymerase III beta subunit (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00240	Pyrimidine metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.10	RHOM_00045	VBIRosHom36679_0010	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase	00770	Pantothenate and CoA biosynthesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.11	RHOM_00050	VBIRosHom36679_0011		Pantoate--beta-alanine ligase (EC 6.3.2.1)	6.3.2.1	Pantoate--beta-alanine ligase	00410	beta-Alanine metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.11	RHOM_00050	VBIRosHom36679_0011		Pantoate--beta-alanine ligase (EC 6.3.2.1)	6.3.2.1	Pantoate--beta-alanine ligase	00770	Pantothenate and CoA biosynthesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.12	RHOM_00055	VBIRosHom36679_0012		Aspartate 1-decarboxylase (EC 4.1.1.11)	4.1.1.11	Aspartate 1-decarboxylase	00410	beta-Alanine metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.12	RHOM_00055	VBIRosHom36679_0012		Aspartate 1-decarboxylase (EC 4.1.1.11)	4.1.1.11	Aspartate 1-decarboxylase	00770	Pantothenate and CoA biosynthesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.14	RHOM_00065	VBIRosHom36679_0014		Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)	4.2.1.2	Fumarate hydratase	00020	Citrate cycle (TCA cycle)
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.14	RHOM_00065	VBIRosHom36679_0014		Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)	4.2.1.2	Fumarate hydratase	00720	Reductive carboxylate cycle (CO2 fixation)
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.14	RHOM_00065	VBIRosHom36679_0014		Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)	4.2.1.32	L(+)-tartrate dehydratase	00630	Glyoxylate and dicarboxylate metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.15	RHOM_00070	VBIRosHom36679_0015		Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)	4.2.1.2	Fumarate hydratase	00020	Citrate cycle (TCA cycle)
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.15	RHOM_00070	VBIRosHom36679_0015		Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)	4.2.1.2	Fumarate hydratase	00720	Reductive carboxylate cycle (CO2 fixation)
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.15	RHOM_00070	VBIRosHom36679_0015		Fumarate hydratase class I, beta region (EC 4.2.1.2); L(+)-tartrate dehydratase beta subunit (EC 4.2.1.32)	4.2.1.32	L(+)-tartrate dehydratase	00630	Glyoxylate and dicarboxylate metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.37	RHOM_00175	VBIRosHom36679_0037		Tyrosyl-tRNA synthetase (EC 6.1.1.1)	6.1.1.1	Tyrosine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.55	RHOM_00265	VBIRosHom36679_0055		2-isopropylmalate synthase (EC 2.3.3.13)	2.3.3.13	2-isopropylmalate synthase	00290	Valine, leucine and isoleucine biosynthesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.55	RHOM_00265	VBIRosHom36679_0055		2-isopropylmalate synthase (EC 2.3.3.13)	2.3.3.13	2-isopropylmalate synthase	00620	Pyruvate metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.62	RHOM_00305	VBIRosHom36679_0062		Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1.2.7.1	Pyruvate synthase	00010	Glycolysis / Gluconeogenesis
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.62	RHOM_00305	VBIRosHom36679_0062		Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1.2.7.1	Pyruvate synthase	00020	Citrate cycle (TCA cycle)
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.62	RHOM_00305	VBIRosHom36679_0062		Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1.2.7.1	Pyruvate synthase	00620	Pyruvate metabolism
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.62	RHOM_00305	VBIRosHom36679_0062		Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1.2.7.1	Pyruvate synthase	00633	Trinitrotoluene degradation
585394.18	Roseburia hominis A2-183	fig|585394.18.peg.62	RHOM_00305	VBIRosHom36679_0062		Pyruvate:ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1) / Pyruvate:ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	1.2.7.1	Pyruvate synthase	00640	Propanoate metabolism
