genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.9		VBIBacBac225090_0009			1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	00051	Fructose and mannose metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.10		VBIBacBac225090_0010			3.1.4.46	Glycerophosphodiester phosphodiesterase	00564	Glycerophospholipid metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.15		VBIBacBac225090_0015			6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	00410	beta-Alanine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.15		VBIBacBac225090_0015			6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	00770	Pantothenate and CoA biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.16		VBIBacBac225090_0016			4.1.1.11	Aspartate 1-decarboxylase	00410	beta-Alanine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.16		VBIBacBac225090_0016			4.1.1.11	Aspartate 1-decarboxylase	00770	Pantothenate and CoA biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.21		VBIBacBac225090_0021			6.1.1.11	Serine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.47		VBIBacBac225090_0047			5.1.1.1	Alanine racemase	00473	D-Alanine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.47		VBIBacBac225090_0047			6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	00300	Lysine biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.47		VBIBacBac225090_0047			6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	00550	Peptidoglycan biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.57		VBIBacBac225090_0057			2.4.1.18	1,4-alpha-glucan branching enzyme	00500	Starch and sucrose metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.71		VBIBacBac225090_0071			3.1.3.1	Alkaline phosphatase	00627	1,4-Dichlorobenzene degradation
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.71		VBIBacBac225090_0071			3.1.3.1	Alkaline phosphatase	00790	Folate biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.73		VBIBacBac225090_0073			2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	00900	Terpenoid backbone biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.78		VBIBacBac225090_0078			2.7.1.130	Tetraacyldisaccharide 4'-kinase	00540	Lipopolysaccharide biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.79		VBIBacBac225090_0079			2.4.2.1	Purine-nucleoside phosphorylase	00230	Purine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.79		VBIBacBac225090_0079			2.4.2.1	Purine-nucleoside phosphorylase	00240	Pyrimidine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.79		VBIBacBac225090_0079			2.4.2.1	Purine-nucleoside phosphorylase	00760	Nicotinate and nicotinamide metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.82		VBIBacBac225090_0082			1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	00061	Fatty acid biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.82		VBIBacBac225090_0082			1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	00780	Biotin metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.83		VBIBacBac225090_0083			3.5.4.12	dCMP deaminase	00240	Pyrimidine metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.93		VBIBacBac225090_0093			2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	00900	Terpenoid backbone biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.94		VBIBacBac225090_0094		Ribose-5-phosphate isomerase B (EC 5.3.1.6)	5.3.1.6	Ribose-5-phosphate isomerase	00030	Pentose phosphate pathway
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.94		VBIBacBac225090_0094		Ribose-5-phosphate isomerase B (EC 5.3.1.6)	5.3.1.6	Ribose-5-phosphate isomerase	00710	Carbon fixation in photosynthetic organisms
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.98		VBIBacBac225090_0098			4.2.3.4	3-dehydroquinate synthase	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.100		VBIBacBac225090_0100			1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	00620	Pyruvate metabolism
1118061.3	Bacteroidales bacterium ph8	fig|1118061.3.peg.100		VBIBacBac225090_0100			1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	00710	Carbon fixation in photosynthetic organisms
